Gene ID,Input Order,Organism,Genomic Location (Gene),Product Description,Gene Type,Input ID,Interpro ID,Interpro Description,Protein Length,CDS Length,Transcript Product Description,Curated GO Processes,Curated GO Functions,Curated GO Components,Computed GO Processes,Computed GO Functions,Computed GO Components,PFam Description,PFam ID
CNAG_04631,137,Cryptococcus neoformans var. grubii H99,"CP003829.1:829,862..832,532(-)",ribitol kinase,protein coding gene,CNAG_04631,IPR006003;IPR018484;IPR018485;IPR043129,"FGGY carbohydrate kinase, pentulose kinase;Carbohydrate kinase, FGGY, N-terminal;Carbohydrate kinase, FGGY, C-terminal;ATPase, nucleotide binding domain",621,1866,ribitol kinase,cellular response to methyl methanesulfonate,N/A,N/A,carbohydrate metabolic process,"kinase activity;phosphotransferase activity, alcohol group as acceptor",N/A,"Carbohydrate kinase, FGGY, N-terminal;Carbohydrate kinase, FGGY, C-terminal",PF00370;PF02782
CNAG_03143,138,Cryptococcus neoformans var. grubii H99,"CP003827.1:173,772..175,188(+)",hypothetical protein,protein coding gene,CNAG_03143,IPR007250,Heat shock protein 9/12,83,252,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,Heat shock protein 9/12,PF04119
CNAG_02815,139,Cryptococcus neoformans var. grubii H99,"CP003822.1:706,821..709,589(-)",glycerol-3-phosphate dehydrogenase,protein coding gene,CNAG_02815,IPR000447;IPR006076;IPR031656;IPR036188,"FAD-dependent glycerol-3-phosphate dehydrogenase;FAD dependent oxidoreductase;Alpha-glycerophosphate oxidase, C-terminal;FAD/NAD(P)-binding domain superfamily",668,2007,glycerol-3-phosphate dehydrogenase,N/A,N/A,N/A,glycerol-3-phosphate metabolic process;obsolete oxidation-reduction process,glycerol-3-phosphate dehydrogenase (quinone) activity;oxidoreductase activity;sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity,glycerol-3-phosphate dehydrogenase complex,"FAD dependent oxidoreductase;Alpha-glycerophosphate oxidase, C-terminal",PF01266;PF16901
CNAG_06169,140,Cryptococcus neoformans var. grubii H99,"CP003831.1:502,782..505,981(-)",hypothetical protein,protein coding gene,CNAG_06169,IPR002328;IPR011032;IPR013149;IPR013154;IPR036291,"Alcohol dehydrogenase, zinc-type, conserved site;GroES-like superfamily;Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal;NAD(P)-binding domain superfamily",441,1326,hypothetical protein,N/A,N/A,N/A,obsolete oxidation-reduction process,oxidoreductase activity;zinc ion binding,N/A,"Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal",PF00107;PF08240
CNAG_05167,141,Cryptococcus neoformans var. grubii H99,"CP003823.1:608,565..609,265(+)",hypothetical protein,protein coding gene,CNAG_05167,N/A,N/A,83,252,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05929,142,Cryptococcus neoformans var. grubii H99,"CP003826.1:1,236,953..1,241,060(-)","MFS transporter, SP family, general alpha glucoside:H symporter",protein coding gene,CNAG_05929,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",563,1692,"MFS transporter, SP family, general alpha glucoside:H symporter",N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane,"Major facilitator,  sugar transporter-like",PF00083
CNAG_06401,143,Cryptococcus neoformans var. grubii H99,"CP003832.1:395,511..398,837(+)",RIC8 guanine nucleotide exchange factor,protein coding gene,CNAG_06401,IPR019318,"Guanine nucleotide exchange factor, Ric8",692,2079,RIC8 guanine nucleotide exchange factor,N/A,guanyl-nucleotide exchange factor activity,N/A,N/A,N/A,N/A,"Guanine nucleotide exchange factor, Ric8",PF10165
CNAG_04025,144,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,431,577..1,433,387(+)",transaldolase,protein coding gene,CNAG_04025,IPR001585,Transaldolase/Fructose-6-phosphate aldolase,379,1140,transaldolase,N/A,N/A,N/A,carbohydrate metabolic process,catalytic activity,N/A,Transaldolase/Fructose-6-phosphate aldolase,PF00923
CNAG_02893,145,Cryptococcus neoformans var. grubii H99,"CP003822.1:513,920..515,230(-)","hypothetical protein, hypothetical protein, variant",protein coding gene,CNAG_02893,IPR003719,Phenazine biosynthesis PhzF protein,314,945,"hypothetical protein, variant",N/A,N/A,N/A,biosynthetic process,catalytic activity,N/A,Phenazine biosynthesis PhzF protein,PF02567
CNAG_05431,146,Cryptococcus neoformans var. grubii H99,"CP003833.2:294,894..298,289(-)",pH-response transcription factor pacC/RIM101,protein coding gene,CNAG_05431,IPR013087;IPR036236,Zinc finger C2H2-type;Zinc finger C2H2 superfamily,916,2751,pH-response transcription factor pacC/RIM101,capsule organization;cell wall organization;chitin localization;hyperosmotic response;induction by symbiont of host immune response;melanin biosynthetic process;regulation of urease activity;response to alkaline pH;response to hydrogen peroxide;response to iron ion starvation;response to lithium ion,N/A,N/A,N/A,N/A,N/A,Zinc finger C2H2-type,PF00096
CNAG_02230,147,Cryptococcus neoformans var. grubii H99,"CP003825.1:849,996..854,400(-)",phosphoketolase,protein coding gene,CNAG_02230,IPR005593;IPR009014;IPR018969;IPR018970;IPR019789;IPR019790;IPR029061,"Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase;Transketolase C-terminal/Pyruvate-ferredoxin oxidoreductase domain II;Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase, C-terminal;Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase, N-terminal;Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase, thiamine diphosphate binding site;Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase, conserved site;Thiamin diphosphate-binding fold",851,2556,phosphoketolase,N/A,N/A,N/A,carbohydrate metabolic process,aldehyde-lyase activity;catalytic activity,N/A,"Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase;Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase, C-terminal;Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase, N-terminal",PF03894;PF09363;PF09364
CNAG_00638,148,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,652,297..1,654,958(-)",GTPase,protein coding gene,CNAG_00638,IPR006073;IPR027417;IPR043358,GTP binding domain;P-loop containing nucleoside triphosphate hydrolase;Ras GTPase GNL1-like,672,2019,GTPase,N/A,N/A,N/A,N/A,GTP binding;GTPase activity,N/A,GTP binding domain,PF01926
CNAG_00393,149,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,033,576..1,036,996(-)","1,4-alpha-glucan-branching enzyme",protein coding gene,CNAG_00393,IPR004193;IPR006047;IPR006048;IPR014756;IPR017853;IPR037439,"Glycoside hydrolase, family 13, N-terminal;Glycosyl hydrolase, family 13, catalytic domain;Alpha-amylase/branching enzyme, C-terminal all beta;Immunoglobulin E-set;Glycoside hydrolase superfamily;1,4-alpha-glucan-branching enzyme",682,2049,"1,4-alpha-glucan-branching enzyme",N/A,N/A,N/A,carbohydrate metabolic process;glycogen biosynthetic process,"1,4-alpha-glucan branching enzyme activity;1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis);catalytic activity;cation binding;hydrolase activity, hydrolyzing O-glycosyl compounds",N/A,"Glycosyl hydrolase, family 13, catalytic domain;Alpha-amylase/branching enzyme, C-terminal all beta;Glycoside hydrolase, family 13, N-terminal",PF00128;PF02806;PF02922
CNAG_00093,150,Cryptococcus neoformans var. grubii H99,"CP003820.1:256,786..259,847(-)",hypothetical protein,protein coding gene,CNAG_00093,IPR021709,Protein of unknown function DUF3292,746,2241,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane,Protein of unknown function DUF3292,PF11696
CNAG_04085,151,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,584,624..1,588,402(-)","oxidoreductase, oxidoreductase, variant",protein coding gene,CNAG_04085,IPR006139;IPR006140;IPR029752;IPR036291,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain;D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain;D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1;NAD(P)-binding domain superfamily",435,1308,"oxidoreductase, variant",N/A,N/A,N/A,obsolete oxidation-reduction process,"NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",N/A,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain;D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain",PF00389;PF02826
CNAG_06431,152,Cryptococcus neoformans var. grubii H99,"CP003832.1:463,158..465,341(-)",acyl-CoA oxidase,protein coding gene,CNAG_06431,IPR006089;IPR006091;IPR009075;IPR009100;IPR013786;IPR036250,"Acyl-CoA dehydrogenase, conserved site;Acyl-CoA oxidase/dehydrogenase, central domain;Acyl-CoA dehydrogenase/oxidase C-terminal;Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily;Acyl-CoA dehydrogenase/oxidase, N-terminal;Acyl-CoA dehydrogenase-like, C-terminal",429,1290,acyl-CoA oxidase,N/A,N/A,N/A,obsolete oxidation-reduction process,"acyl-CoA dehydrogenase activity;flavin adenine dinucleotide binding;oxidoreductase activity, acting on the CH-CH group of donors",N/A,"Acyl-CoA dehydrogenase/oxidase C-terminal;Acyl-CoA oxidase/dehydrogenase, central domain;Acyl-CoA dehydrogenase/oxidase, N-terminal",PF00441;PF02770;PF02771
CNAG_04274,153,Cryptococcus neoformans var. grubii H99,"CP003828.1:451,595..453,461(-)",acyl-CoA thioesterase II,protein coding gene,CNAG_04274,IPR003703;IPR029069,Acyl-CoA thioesterase;HotDog domain superfamily,374,1125,acyl-CoA thioesterase II,N/A,N/A,N/A,acyl-CoA metabolic process,acyl-CoA hydrolase activity,N/A,N/A,PF13622
CNAG_04092,154,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,597,683..1,600,801(-)",Sugar transporter,protein coding gene,CNAG_04092,IPR005828;IPR005829;IPR036259,"Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",553,1662,Sugar transporter,N/A,N/A,N/A,carbohydrate transport;transmembrane transport,transmembrane transporter activity,integral component of membrane,"Major facilitator,  sugar transporter-like",PF00083
CNAG_04206,155,Cryptococcus neoformans var. grubii H99,"CP003828.1:288,985..290,081(-)",hypothetical protein,protein coding gene,CNAG_04206,IPR006913;IPR011057,Glutathione-dependent formaldehyde-activating enzyme/centromere protein V;Mss4-like superfamily,170,513,hypothetical protein,N/A,N/A,N/A,N/A,carbon-sulfur lyase activity;metal ion binding,N/A,Glutathione-dependent formaldehyde-activating enzyme/centromere protein V,PF04828
CNAG_04907,156,Cryptococcus neoformans var. grubii H99,"CP003829.1:56,879..59,475(+)","hypothetical protein, hypothetical protein, variant",protein coding gene,CNAG_04907,N/A,N/A,712,2139,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04657,157,Cryptococcus neoformans var. grubii H99,"CP003829.1:759,707..760,931(-)",Short-chain dehydrogenase,protein coding gene,CNAG_04657,IPR036291,NAD(P)-binding domain superfamily,255,768,Short-chain dehydrogenase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03688,158,Cryptococcus neoformans var. grubii H99,"CP003821.1:535,593..536,630(-)",hypothetical protein,protein coding gene,CNAG_03688,N/A,N/A,187,564,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04920,159,Cryptococcus neoformans var. grubii H99,"CP003829.1:21,726..24,883(+)","galactose transporter, variant, galactose transporter",protein coding gene,CNAG_04920,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",550,1653,galactose transporter,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane,"Major facilitator,  sugar transporter-like",PF00083
CNAG_00815,160,Cryptococcus neoformans var. grubii H99,"CP003820.1:2,161,078..2,164,025(+)","MFS transporter, SIT family, siderophore-iron:H symporter",protein coding gene,CNAG_00815,IPR001411;IPR011701;IPR036259,Tetracycline resistance protein/drug resistance transporter;Major facilitator superfamily;MFS transporter superfamily,604,1815,"MFS transporter, SIT family, siderophore-iron:H symporter",N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane,Major facilitator superfamily,PF07690
CNAG_06574,161,Cryptococcus neoformans var. grubii H99,"CP003826.1:162,955..164,009(-)",antiphagocytic protein 1,protein coding gene,CNAG_06574,N/A,N/A,181,546,antiphagocytic protein 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04737,162,Cryptococcus neoformans var. grubii H99,"CP003829.1:536,863..541,076(-)",hypothetical protein,protein coding gene,CNAG_04737,IPR005532;IPR016187;IPR019257;IPR024775;IPR034660,"Sulfatase-modifying factor enzyme;C-type lectin fold;Histidine-specific methyltransferase, SAM-dependent;DinB-like domain;DinB/YfiT-like putative metalloenzymes",1020,3063,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,N/A,"Sulfatase-modifying factor enzyme;Histidine-specific methyltransferase, SAM-dependent;DinB-like domain",PF03781;PF10017;PF12867
CNAG_04388,163,Cryptococcus neoformans var. grubii H99,"CP003828.1:733,559..734,766(+)",mitochondrial manganese superoxide dismutase,protein coding gene,CNAG_04388,IPR001189;IPR019831;IPR019832;IPR019833;IPR036314;IPR036324,"Manganese/iron superoxide dismutase;Manganese/iron superoxide dismutase, N-terminal;Manganese/iron superoxide dismutase, C-terminal;Manganese/iron superoxide dismutase, binding site;Manganese/iron superoxide dismutase, C-terminal domain superfamily;Manganese/iron superoxide dismutase, N-terminal domain superfamily",225,678,mitochondrial manganese superoxide dismutase,response to oxidative stress,N/A,N/A,obsolete oxidation-reduction process;superoxide metabolic process,metal ion binding;superoxide dismutase activity,N/A,"Manganese/iron superoxide dismutase, N-terminal;Manganese/iron superoxide dismutase, C-terminal",PF00081;PF02777
CNAG_05867,164,Cryptococcus neoformans var. grubii H99,"CP003826.1:1,079,795..1,082,028(+)",L-fucose transporter,protein coding gene,CNAG_05867,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,491,1476,L-fucose transporter,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane,Major facilitator superfamily,PF07690
CNAG_04314,165,Cryptococcus neoformans var. grubii H99,"CP003828.1:540,506..542,584(-)","NAD kinase, NAD kinase, variant",protein coding gene,CNAG_04314,IPR002504;IPR016064,NAD kinase;NAD kinase/diacylglycerol kinase-like domain superfamily,449,1350,"NAD kinase, variant",cellular response to hydrogen peroxide,N/A,N/A,NAD metabolic process;NADP biosynthetic process,NAD+ kinase activity,N/A,NAD kinase,PF01513
CNAG_00686,166,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,786,261..1,787,809(-)",hypothetical protein,protein coding gene,CNAG_00686,N/A,N/A,286,861,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane,N/A,N/A
CNAG_00699,167,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,822,481..1,828,276(-)",transmembrane receptor,protein coding gene,CNAG_00699,IPR002889;IPR018535,Carbohydrate-binding WSC;Domain of unknown function DUF1996,1372,4119,transmembrane receptor,N/A,N/A,N/A,N/A,N/A,integral component of membrane,Carbohydrate-binding WSC;Domain of unknown function DUF1996,PF01822;PF09362
CNAG_04659,168,Cryptococcus neoformans var. grubii H99,"CP003829.1:754,385..756,982(-)",Pyruvate decarboxylase,protein coding gene,CNAG_04659,IPR011766;IPR012000;IPR012001;IPR012110;IPR029035;IPR029061,"Thiamine pyrophosphate enzyme, C-terminal TPP-binding;Thiamine pyrophosphate enzyme, central domain;Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain;Thiamine pyrophosphate (TPP)-dependent enzyme;DHS-like NAD/FAD-binding domain superfamily;Thiamin diphosphate-binding fold",623,1872,Pyruvate decarboxylase,N/A,N/A,extracellular vesicle,N/A,carboxy-lyase activity;catalytic activity;magnesium ion binding;thiamine pyrophosphate binding,mitochondrion,"Thiamine pyrophosphate enzyme, central domain;Thiamine pyrophosphate enzyme, C-terminal TPP-binding;Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain",PF00205;PF02775;PF02776
CNAG_02877,169,Cryptococcus neoformans var. grubii H99,"CP003822.1:547,718..551,453(-)",hypothetical protein,protein coding gene,CNAG_02877,IPR001138;IPR013087;IPR036236;IPR036864,Zn(2)-C6 fungal-type DNA-binding domain;Zinc finger C2H2-type;Zinc finger C2H2 superfamily;Zn(2)-C6 fungal-type DNA-binding domain superfamily,928,2787,hypothetical protein,negative regulation of capsule organization;response to salt stress;response to sodium dodecyl sulfate;response to tert-butyl hydroperoxide,N/A,N/A,"regulation of transcription, DNA-templated","DNA-binding transcription factor activity, RNA polymerase II-specific;zinc ion binding",host cell nucleus,Zinc finger C2H2-type;Zn(2)-C6 fungal-type DNA-binding domain,PF00096;PF00172
CNAG_02337,170,Cryptococcus neoformans var. grubii H99,"CP003825.1:574,416..576,232(-)",Uracil phosphoribosyltransferase,protein coding gene,CNAG_02337,IPR000836;IPR029057,Phosphoribosyltransferase domain;Phosphoribosyltransferase-like,230,693,Uracil phosphoribosyltransferase,N/A,N/A,N/A,nucleoside metabolic process,glycosyltransferase activity,N/A,N/A,PF14681
CNAG_06102,171,Cryptococcus neoformans var. grubii H99,"CP003831.1:310,279..312,123(-)","ADP,ATP carrier protein, ADP,ATP carrier protein, variant 2, ADP,ATP carrier protein, variant 3, ADP,ATP carrier protein, variant 1",protein coding gene,CNAG_06102,IPR002067;IPR002113;IPR018108;IPR023395,Mitochondrial carrier protein;Adenine nucleotide translocator 1;Mitochondrial substrate/solute carrier;Mitochondrial carrier domain superfamily,319,960,"ADP,ATP carrier protein, variant 3",N/A,N/A,N/A,transmembrane transport,ATP transmembrane transporter activity;transmembrane transporter activity,integral component of membrane;mitochondrial inner membrane,Mitochondrial substrate/solute carrier,PF00153
CNAG_05310,172,Cryptococcus neoformans var. grubii H99,"CP003823.1:1,013,480..1,014,967(+)",nipsnap family protein,protein coding gene,CNAG_05310,IPR011008;IPR012577,Dimeric alpha-beta barrel;NIPSNAP,323,972,nipsnap family protein,N/A,N/A,N/A,N/A,N/A,N/A,NIPSNAP,PF07978
CNAG_04195,173,Cryptococcus neoformans var. grubii H99,"CP003828.1:259,460..261,052(+)",O-methyltransferase,protein coding gene,CNAG_04195,IPR002935;IPR029063,Class I-like SAM-dependent O-methyltransferase;S-adenosyl-L-methionine-dependent methyltransferase,303,912,O-methyltransferase,N/A,N/A,N/A,methylation,O-methyltransferase activity,N/A,Class I-like SAM-dependent O-methyltransferase,PF01596
CNAG_03794,174,Cryptococcus neoformans var. grubii H99,"CP003821.1:830,000..832,027(-)",endoplasmic reticulum protein,protein coding gene,CNAG_03794,IPR004776;IPR040254,Membrane transport protein;Protein Ecm3-like,403,1212,endoplasmic reticulum protein,N/A,N/A,N/A,transmembrane transport,N/A,integral component of membrane,Membrane transport protein,PF03547
CNAG_05300,175,Cryptococcus neoformans var. grubii H99,"CP003823.1:978,223..981,320(+)",mitochondrial carrier protein,protein coding gene,CNAG_05300,IPR004776;IPR018108;IPR023395,Membrane transport protein;Mitochondrial substrate/solute carrier;Mitochondrial carrier domain superfamily,680,2043,mitochondrial carrier protein,N/A,N/A,N/A,transmembrane transport,N/A,integral component of membrane,Mitochondrial substrate/solute carrier;Membrane transport protein,PF00153;PF03547
CNAG_04587,176,Cryptococcus neoformans var. grubii H99,"CP003829.1:951,008..955,195(-)","hypothetical protein, hypothetical protein, variant",protein coding gene,CNAG_04587,N/A,N/A,804,2415,"hypothetical protein, variant",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05303,177,Cryptococcus neoformans var. grubii H99,"CP003823.1:988,897..991,402(-)",isocitrate lyase,protein coding gene,CNAG_05303,IPR006254;IPR015813;IPR018523;IPR039556,"Isocitrate lyase;Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily;Isocitrate lyase/phosphorylmutase, conserved site;ICL/PEPM domain",549,1650,isocitrate lyase,carbon utilization,N/A,N/A,carboxylic acid metabolic process,catalytic activity;isocitrate lyase activity;metal ion binding;methylisocitrate lyase activity,N/A,Isocitrate lyase,PF00463
CNAG_00908,178,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,660,563..1,661,540(-)",hypothetical protein,protein coding gene,CNAG_00908,N/A,N/A,298,897,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane,N/A,N/A
CNAG_05324,179,Cryptococcus neoformans var. grubii H99,"CP003823.1:1,055,542..1,057,987(+)",Sugar transporter,protein coding gene,CNAG_05324,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",538,1617,Sugar transporter,N/A,N/A,N/A,carbohydrate transport;transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane,"Major facilitator,  sugar transporter-like",PF00083
CNAG_00834,180,Cryptococcus neoformans var. grubii H99,"CP003820.1:2,212,794..2,214,596(+)","phosphatidylserine decarboxylase, variant, Phosphatidylserine decarboxylase",protein coding gene,CNAG_00834,IPR003817;IPR022237,Phosphatidylserine decarboxylase-related;L-tryptophan decarboxylase PsiD-like,373,1122,Phosphatidylserine decarboxylase,N/A,N/A,N/A,phospholipid biosynthetic process,phosphatidylserine decarboxylase activity,N/A,Phosphatidylserine decarboxylase-related;L-tryptophan decarboxylase PsiD-like,PF02666;PF12588
CNAG_03906,181,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,147,156..1,149,369(-)",hypothetical protein,protein coding gene,CNAG_03906,IPR001357;IPR036420,BRCT domain;BRCT domain superfamily,297,894,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,BRCT domain,PF16589
CNAG_03002,182,Cryptococcus neoformans var. grubii H99,"CP003822.1:234,102..234,969(+)",hypothetical protein,protein coding gene,CNAG_03002,N/A,N/A,164,495,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01242,183,Cryptococcus neoformans var. grubii H99,"CP003824.1:829,002..831,879(+)",CCAAT-binding transcription factor HapX,protein coding gene,CNAG_01242,IPR004827;IPR018287,"Basic-leucine zipper domain;Hap4 transcription factor, heteromerisation domain",718,2157,CCAAT-binding transcription factor HapX,N/A,N/A,N/A,"regulation of transcription, DNA-templated",DNA-binding transcription factor activity,nucleus,"Hap4 transcription factor, heteromerisation domain",PF10297
CNAG_06966,184,Cryptococcus neoformans var. grubii H99,"CP003827.1:1,378,146..1,379,405(-)",alkaline phosphatase D,protein coding gene,CNAG_06966,IPR018946,Alkaline phosphatase D-related,300,903,alkaline phosphatase D,N/A,N/A,N/A,N/A,N/A,N/A,Alkaline phosphatase D-related,PF09423
CNAG_06020,185,Cryptococcus neoformans var. grubii H99,"CP003831.1:99,615..102,068(-)",hypothetical protein,protein coding gene,CNAG_06020,IPR004695;IPR030185,Transporter protein SLAC1/Mae1/ Ssu1/TehA;Malic acid transport protein,452,1359,hypothetical protein,N/A,N/A,N/A,malate transmembrane transport;transmembrane transport,malate transmembrane transporter activity,integral component of membrane,Transporter protein SLAC1/Mae1/ Ssu1/TehA,PF03595
CNAG_00751,186,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,971,685..1,972,478(+)",hypothetical protein,protein coding gene,CNAG_00751,N/A,N/A,213,642,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_07826,187,Cryptococcus neoformans var. grubii H99,"CP003823.1:944,970..945,497(+)",hypothetical protein,protein coding gene,CNAG_07826,N/A,N/A,67,204,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06632,188,Cryptococcus neoformans var. grubii H99,"CP003826.1:329,151..331,908(-)",Atypical/ABC1 protein kinase,protein coding gene,CNAG_06632,IPR000719;IPR004147;IPR011009,Protein kinase domain;UbiB domain;Protein kinase-like domain superfamily,603,1812,Atypical/ABC1 protein kinase,cellular response to heat;cellular response to hydrogen peroxide;cellular response to tunicamycin;negative regulation of capsule organization;negative regulation of melanin biosynthetic process;positive regulation of urease activity,N/A,N/A,protein phosphorylation,ATP binding;protein kinase activity,N/A,UbiB domain,PF03109
CNAG_00490,189,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,254,735..1,257,241(-)",acetyl-CoA acyltransferase,protein coding gene,CNAG_00490,IPR002155;IPR016039;IPR020613;IPR020615;IPR020616;IPR020617,"Thiolase;Thiolase-like;Thiolase, conserved site;Thiolase, acyl-enzyme intermediate active site;Thiolase, N-terminal;Thiolase, C-terminal",415,1248,acetyl-CoA acyltransferase,N/A,N/A,N/A,N/A,"acyltransferase activity, transferring groups other than amino-acyl groups;catalytic activity",N/A,"Thiolase, N-terminal;Thiolase, C-terminal",PF00108;PF02803
CNAG_06334,190,Cryptococcus neoformans var. grubii H99,"CP003832.1:220,342..222,786(+)",hypothetical protein,protein coding gene,CNAG_06334,N/A,N/A,599,1800,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00651,191,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,694,281..1,698,044(-)","ATP-binding cassette, subfamily D (ALD), peroxisomal long-chain fatty acid import protein",protein coding gene,CNAG_00651,IPR003439;IPR003593;IPR011527;IPR017871;IPR027417,"ABC transporter-like;AAA+ ATPase domain;ABC transporter type 1, transmembrane domain;ABC transporter, conserved site;P-loop containing nucleoside triphosphate hydrolase",854,2565,"ATP-binding cassette, subfamily D (ALD), peroxisomal long-chain fatty acid import protein",N/A,N/A,N/A,transmembrane transport,ATP binding;ATP hydrolysis activity;ATPase-coupled transmembrane transporter activity,integral component of membrane,"ABC transporter-like;ABC transporter type 1, transmembrane domain",PF00005;PF06472
CNAG_01892,192,Cryptococcus neoformans var. grubii H99,"CP003830.1:1,190,439..1,191,670(-)",hypothetical protein,protein coding gene,CNAG_01892,IPR009686,Senescence/spartin-associated,221,666,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,Senescence/spartin-associated,PF06911
CNAG_01052,193,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,335,183..1,337,422(-)",hypothetical protein,protein coding gene,CNAG_01052,N/A,N/A,366,1101,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04256,194,Cryptococcus neoformans var. grubii H99,"CP003828.1:414,327..416,760(-)",hypothetical protein,protein coding gene,CNAG_04256,IPR012462,"Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2",596,1791,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,N/A,"Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2",PF07910
CNAG_02288,195,Cryptococcus neoformans var. grubii H99,"CP003825.1:691,039..693,214(+)","solute carrier family 25 (mitochondrial citrate transporter), member 1",protein coding gene,CNAG_02288,IPR002067;IPR018108;IPR023395,Mitochondrial carrier protein;Mitochondrial substrate/solute carrier;Mitochondrial carrier domain superfamily,342,1029,"solute carrier family 25 (mitochondrial citrate transporter), member 1",N/A,N/A,N/A,transmembrane transport,ATP transmembrane transporter activity,integral component of membrane;mitochondrion,Mitochondrial substrate/solute carrier,PF00153
